更新时间: 2026-04-23 13:26:33（北京时间）

更新时间,#genre#
2026-04-23 13:26:33,https://txmov2.a.kwimgs.com/bs3/video-hls/5230086603510673905_hlsb.m3u8?pkey=AAUyMbVkU7WkimubgX0RPM_gxiBDBZ0O6NjXg8fqHAfjVU3xFbWk1Mq_dhogP1fSZfTuxFuTTP4Q9geCGPwtGGOxQWCeEZMzc8A0cmLTyXrZZWUeTZQtSukPK5Y5UyZPBuM

央视频道,#genre#
CCTV1,http://171.8.84.159:8800/rtp/239.16.20.1:10010$河南电信
CCTV1,http://144.255.44.144:7788/rtp/239.21.1.120:5002$山东电信
CCTV2,http://171.8.84.159:8800/rtp/239.16.20.2:10020$河南电信
CCTV2,http://144.255.44.144:7788/rtp/239.21.1.151:5002$山东电信
CCTV3,http://171.8.84.159:8800/rtp/239.16.20.3:10030$河南电信
CCTV3,http://144.255.44.144:7788/rtp/239.21.2.45:5002$山东电信
CCTV4,http://171.8.84.159:8800/rtp/239.16.20.4:10040$河南电信
CCTV4,http://144.255.44.144:7788/rtp/239.21.1.154:5002$山东电信
CCTV4欧洲,http://144.255.44.144:7788/rtp/239.21.2.28:5002$山东电信
CCTV5,http://171.8.84.159:8800/rtp/239.16.20.53:10530$河南电信
CCTV5,http://144.255.44.144:7788/rtp/239.21.2.46:5002$山东电信
CCTV5+,http://171.8.84.159:8800/rtp/239.16.20.5:10050$河南电信
CCTV5+,http://144.255.44.144:7788/rtp/239.21.1.142:5002$山东电信
CCTV6,http://171.8.84.159:8800/rtp/239.16.20.6:10060$河南电信
CCTV6,http://144.255.44.144:7788/rtp/239.21.2.47:5002$山东电信
CCTV7,http://171.8.84.159:8800/rtp/239.16.20.51:10510$河南电信
CCTV7,http://144.255.44.144:7788/rtp/239.21.1.152:5002$山东电信
CCTV8,http://171.8.84.159:8800/rtp/239.16.20.8:10080$河南电信
CCTV8,http://144.255.44.144:7788/rtp/239.21.2.48:5002$山东电信
CCTV9,http://171.8.84.159:8800/rtp/239.16.20.9:10090$河南电信
CCTV9,http://144.255.44.144:7788/rtp/239.21.1.153:5002$山东电信
CCTV10,http://171.8.84.159:8800/rtp/239.16.20.10:10100$河南电信
CCTV10,http://144.255.44.144:7788/rtp/239.21.1.155:5002$山东电信
CCTV11,http://171.8.84.159:8800/rtp/239.16.20.11:10110$河南电信
CCTV11,http://144.255.44.144:7788/rtp/239.21.2.2:5002$山东电信
CCTV12,http://171.8.84.159:8800/rtp/239.16.20.12:10120$河南电信
CCTV12,http://144.255.44.144:7788/rtp/239.21.1.156:5002$山东电信
CCTV13,http://171.8.84.159:8800/rtp/239.16.20.13:10130$河南电信
CCTV13,http://144.255.44.144:7788/rtp/239.21.2.3:5002$山东电信
CCTV14,http://171.8.84.159:8800/rtp/239.16.20.14:10140$河南电信
CCTV14,http://144.255.44.144:7788/rtp/239.21.1.157:5002$山东电信
CCTV15,http://171.8.84.159:8800/rtp/239.16.20.15:10150$河南电信
