# 江苏电信 IP速度测试结果 - 有效IP 10/11
# 测试时间: 2026-03-01 01:32:19
# IP:端口 速度 连接时间(ms)
114.238.59.184:4000 516.4KB/s (ping:238ms)
222.94.25.56:8888 493.3KB/s (ping:226ms)
222.95.12.2:4022 489.2KB/s (ping:243ms)
121.230.171.129:9981 478.4KB/s (ping:245ms)
117.93.50.49:8088 471.4KB/s (ping:256ms)
117.82.88.137:5555 422.4KB/s (ping:246ms)
121.237.245.83:8888 237.6KB/s (ping:234ms)
114.222.8.102:8001 101.0KB/s (ping:269ms)
49.85.97.234:4000 32.6KB/s (ping:245ms)
49.85.97.233:4000 23.4KB/s (ping:263ms)

# 失败统计 (1个):
# 114.218.70.233:4000 - 链接超时
